car,time(s),distance(m),velocity(m/s)
0,0,6,0.0
0,1,5.105055555555555,2.4999999999999982
0,2,5.121419348255313,2.9999999999999964
0,3,5.142180183311643,3.4333333333333282
0,4,5.167775412032756,3.8999999999999932
0,5,5.19670003064598,4.3999999999999915
0,6,5.222734962790218,4.833333333333323
0,7,5.249154016115608,5.299999999999988
0,8,5.275929404901899,5.766666666666653
0,9,5.3017931288202815,6.233333333333318
0,10,5.328595248952274,6.7333333333333165
0,11,5.353432224833364,7.1999999999999815
0,12,5.37686875521274,7.6666666666666465
0,13,5.400726654626237,7.966666666666644
0,14,5.398062058069536,6.099999999999972
0,15,5.338819099671764,4.099999999999966
0,16,5.248751579594364,2.2333333333332996
0,17,5.142388785371827,0.3666666666666334
0,18,5.041408886959334,0.49999999999996664
0,19,4.995120048109015,0.9666666666666333
0,20,4.98623882179802,1.4333333333333012
0,21,5.001084517978507,1.8999999999999693
0,22,5.030476104061154,2.3999999999999684
0,23,5.063853746575774,2.8666666666666334
0,24,5.0986170284217,3.3333333333332984
0,25,5.134393023881671,3.7999999999999634
0,26,5.166272294392593,4.233333333333295
0,27,5.199404653463557,4.69999999999996
0,28,5.232145173003801,5.166666666666625
0,29,5.261964808482889,5.63333333333329
0,30,5.293688116921044,6.1333333333332885
0,31,5.32120702351915,6.5999999999999535
0,32,5.34797886088054,7.0666666666666185
0,33,5.374124197189531,7.5333333333332835
0,34,5.398565048228193,7.9999999999999485
0,35,5.409896982922282,6.499999999999943
0,36,5.366590965252977,4.633333333333271
0,37,5.284226330381398,2.7666666666666027
0,38,5.181266281177523,0.8999999999999364
0,39,5.075575500813466,0.3666666666666031
0,40,5.008653504381255,0.8666666666666032
0,41,4.994170482254935,1.2999999999999372
1,0,6,0.0
1,1,5.100028251920503,2.0198115569545756
1,2,5.101223558332094,2.196491830738695
1,3,5.105342941115327,2.487348436974956
1,4,5.1151288141714755,2.8879364378598984
1,5,5.1303625748036215,3.3742273012976556
1,6,5.1473935214709625,3.8192102240270214
1,7,5.167891715024143,4.310293884372819
1,8,5.189948730660421,4.806064740571716
1,9,5.213690243296469,5.302380908475155
1,10,5.23913636695413,5.8322624574802475
1,11,5.26380877015531,6.324112362658534
1,12,5.288011785136746,6.812787004053772
1,13,5.312210569996159,7.2983590259748174
1,14,5.336911695603544,7.728047595532992
1,15,5.358328704446467,7.336458670111014
1,16,5.357729110104538,6.216245251099438
1,17,5.332058693077329,4.645826568811074
