car,time(s),distance(m),velocity(m/s)
0,0,21,0
0,1,20.08266666666666,0.013333333333333372
0,2,20.025178928248486,0.17333333333333328
0,3,19.94633652832929,0.21000000000000005
0,4,19.899484314165782,0.1633333333333333
0,5,19.890954034761716,0.11333333333333315
0,6,19.904660566918096,0.06666666666666646
0,7,19.929774614129748,0.019999999999999806
0,8,19.960497074455862,0.026666666666666856
0,9,19.99306956539349,0.07333333333333351
0,10,20.028091481116824,0.12333333333333359
0,11,20.06054895147772,0.1700000000000004
0,12,20.09104416940836,0.2166666666666671
0,13,20.121276569330213,0.2633333333333336
0,14,20.149388213391877,0.3100000000000001
0,15,20.176685606781597,0.3566666666666666
0,16,20.2032677265953,0.40333333333333315
0,17,20.228040906246086,0.4499999999999996
0,18,20.25293034817596,0.49666666666666615
0,19,20.276265821217955,0.5433333333333327
0,20,20.291561481912982,0.4399999999999989
0,21,20.25856933761902,0.2533333333333322
0,22,20.182572063861564,0.06666666666666554
0,23,20.080842682427168,0.1200000000000011
0,24,19.97195244260081,0.2233333333333345
0,25,19.893617486933817,0.1733333333333345
0,26,19.86951955199936,0.12666666666666768
0,27,19.875904538223175,0.08000000000000093
0,28,19.898358087321412,0.033333333333334283
0,29,19.928573066538227,0.013333333333332378
0,30,19.962709300548067,0.05999999999999904
0,31,19.997586423630082,0.10666666666666572
0,32,20.03185067919487,0.15333333333333252
0,33,20.066052293548797,0.19999999999999934
0,34,20.097437646721687,0.24666666666666584
0,35,20.130787120761852,0.29666666666666563
0,36,20.15969438686677,0.34333333333333216
0,37,20.18982056037521,0.393333333333332
0,38,20.21661662262868,0.4399999999999985
0,39,20.24216074680112,0.486666666666665
0,40,20.269259948953685,0.5366666666666648
0,41,20.288708427259348,0.46666666666666445
1,0,21,0
1,1,20.1,0.19321953908155684
1,2,20.09635331677549,0.1356561176518769
1,3,20.080154482918214,0.01533057350130897
1,4,20.04397958578968,-0.10267438767039579
1,5,19.998612149831832,-0.15586664838666162
1,6,19.964668629006972,-0.1591621398023107
1,7,19.946943449453737,-0.1359038315820938
1,8,19.941483835060843,-0.09815764198456722
1,9,19.947298190704554,-0.05274068119048488
1,10,19.961374752062238,0.0003782414228197868
1,11,19.980093640092583,0.051783469206827526
1,12,20.001580570591784,0.10383359990981667
1,13,20.024804166193814,0.15590938153050904
1,14,20.049799685877428,0.20769340358343635
1,15,20.07469955723958,0.25902354019430124
1,16,20.100414924663074,0.30985873325912594
1,17,20.125538366306387,0.36016097180634654
1,18,20.150568091650097,0.4099673898633984
1,19,20.176012494084897,0.45930366875643597
1,20,20.20067970987602,0.5081990671733979
1,21,20.224767666482922,0.5165130824061401
1,22,20.235836514275697,0.4362814619974979
1,23,20.224953120623788,0.2987206086993808
1,24,20.185250932760937,0.12844857565370826
1,25,20.122693583142176,-0.04869319012115378
1,26,20.055638217920034,-0.13536257664003887
1,27,20.002093372274523,-0.15973292346919027
1,28,19.96614702516648,-0.1487538304443487
1,29,19.950388720665366,-0.11728793257599268
1,30,19.94762642438527,-0.07481937351622378
1,31,19.955967910588992,-0.026631627185830314
1,32,19.970937775933056,0.02449090255774158
1,33,19.990755697212286,0.07683220885924205
1,34,20.013127813340397,0.12951635830726851
1,35,20.03867948966349,0.18580092147580954
1,36,20.064160034142105,0.23792573825044228
1,37,20.091169746328298,0.293200818865851
1,38,20.117145080433012,0.34423782343734577
1,39,20.142453911978873,0.3947199398026154
1,40,20.169969838388944,0.44824980718029933
1,41,20.19492125562971,0.49770282690437
2,0,21,0
2,1,20.11733333333334,0.1997739846360519
2,2,20.09973644329965,0.19261568660459072
2,3,20.097171037823568,0.15616598858723083
2,4,20.086266335258006,0.08166319131191888
2,5,20.061562543425122,-0.009909387738515588
2,6,20.03019701671701,-0.07451223203103315
2,7,20.000155390556053,-0.10906064549499565
2,8,19.976171835922866,-0.11687657877521665
2,9,19.96162820086122,-0.10435273323581688
2,10,19.95658191295081,-0.07444662545580885
2,11,19.960546392417974,-0.03682521672213534
2,12,19.97119277640702,0.006942990256218795
2,13,19.986389855787014,0.054276025620533096
