car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,1,5.55,15
0,2,5.1929792999937945,15
0,3,5.184126480018245,15
0,4,5.177148225955944,15
0,5,5.170984533326418,15
0,6,5.165602830471744,15
0,7,5.1609068426270595,15
0,8,5.1562943072532565,15
0,9,5.1529018581170245,15
0,10,5.1499862748848955,15
0,11,5.14759391571863,15
0,12,5.1453178712263705,15
0,13,5.143766209614933,15
0,14,5.142513311235416,15
0,15,5.1415546523264535,15
0,16,5.140853952548218,15
0,17,5.140355961912246,15
0,18,5.140070953739405,15
0,19,5.13992138652759,15
0,20,5.139950889060037,15
0,21,5.14008280573862,15
0,22,5.140309115377249,15
0,23,5.140658924396393,15
0,24,5.141026725092274,15
0,25,5.141439109075418,15
0,26,5.141881039910163,15
0,27,5.142347208832007,15
0,28,5.142824801084953,15
0,29,5.143376665055371,15
0,30,5.1438578155321695,15
0,31,5.144331554275118,15
0,32,5.14479351589664,15
0,33,5.145241778673972,15
0,34,5.145729950869213,15
0,35,5.146137998288123,15
0,36,5.146521946505095,15
0,37,5.1468852670328715,15
0,38,5.14722515045205,15
0,39,5.14754140331388,15
0,40,5.147836474160203,15
0,41,5.148142958220774,15
0,42,5.148390012038249,15
0,43,5.148613161482126,15
1,0,6,0
1,1,5.55,15.380727023319615
1,2,5.1967721664079365,15.278098368841949
1,3,5.1874497428082575,15.279834605186169
1,4,5.179922002425338,15.280382521252784
1,5,5.1735369736876695,15.229427191279289
1,6,5.1677416300378125,15.196030005830515
1,7,5.162803049861623,15.17627487898497
1,8,5.157895036483614,15.147354334220566
1,9,5.154274586681891,15.122937398250844
1,10,5.1511006291319745,15.10318709553041
1,11,5.1485528025009675,15.085818382172747
1,12,5.146069251170502,15.067396121033799
1,13,5.144375815266767,15.053230809339574
1,14,5.143001325193336,15.040978989455631
1,15,5.141910486185611,15.030159429003703
1,16,5.1411159897903875,15.020729083740301
1,17,5.140515899081538,15.012588899177873
1,18,5.140162845170812,15.005660266366
1,19,5.139933787844098,14.998995235886586
1,20,5.13991496013648,14.994199486799761
1,21,5.140005873597443,14.990246150675384
1,22,5.140190350354851,14.987034499156124
1,23,5.140510991643373,14.98419492447601
1,24,5.14085345791982,14.98232130710544
1,25,5.141250869193049,14.980967697414018
1,26,5.141679467365679,14.98004000168744
1,27,5.142139068499182,14.97950246344464
1,28,5.142612925532967,14.979285802115825
1,29,5.143163852854537,14.979368592578144
1,30,5.143646757688134,14.979683581753582
1,31,5.144125192859088,14.980178954313072
1,32,5.144592490913032,14.980825784334893
1,33,5.145048993921409,14.981585387966167
1,34,5.145545603884898,14.982563635083132
1,35,5.145964110147065,14.983484637768052
1,36,5.146356907828294,14.984447427953478
1,37,5.146729339710464,14.985432994311164
1,38,5.147080851468786,14.986426450041987
1,39,5.147406398629277,14.987414937341526
1,40,5.147713008905248,14.988388669205126
1,41,5.1480294471593195,14.989470491590215
1,42,5.148287436793839,14.99038430061887
1,43,5.148518961134459,14.991259593489094
2,0,6,0
2,1,5.55,15.507636031092819
2,2,5.20045077624045,15.764163897844035
2,3,5.189099361555077,15.727980314177099
2,4,5.183228581803019,15.426478440359986
2,5,5.176341131843605,15.472578970303523
2,6,5.1693979900250495,15.474957081699984
2,7,5.1642026082191705,15.328339014326414
2,8,5.158962560058853,15.271567472136887
2,9,5.155142713404166,15.264605352103066
2,10,5.151892426581616,15.219803021425612
2,11,5.149222769297944,15.169297726750305
2,12,5.146598589701125,15.136332135646558
2,13,5.144882196238837,15.112884283211965
2,14,5.143452824158953,15.085133150239141
2,15,5.142258225397859,15.062327577122403
2,16,5.141422855011842,15.044437596436017
2,17,5.140764716307876,15.027622241033217
2,18,5.14036403336122,15.013008652243048
2,19,5.140080142119837,14.99947673664976
2,20,5.140033633765666,14.989766306771768
2,21,5.140096432734344,14.981550342997526
2,22,5.140246178219241,14.974899495524758
2,23,5.14054389166156,14.969036329953287
2,24,5.1408630969883236,14.965133990939979
2,25,5.141244901182245,14.962275653660054
2,26,5.141657424498272,14.960299660248328
2,27,5.142106397271164,14.959123240844326
2,28,5.14257107385049,14.958598858205638
2,29,5.1431133034111784,14.958678969652295
2,30,5.143590515698998,14.959248514205258
2,31,5.144065495129053,14.96018938192789
2,32,5.144529692519586,14.961442998020392
2,33,5.144985708548734,14.96293096396042
2,34,5.145480770217023,14.96486149179863
2,35,5.145900979614862,14.966687664304214
2,36,5.146294059564343,14.968603326441276
2,37,5.146667230068511,14.970569477079446
2,38,5.1470222698592805,14.972555548928879
2,39,5.14734934621174,14.97453531611399
2,40,5.147660072253075,14.976488434338112
2,41,5.1479784895314875,14.978661548161474
2,42,5.148240850921366,14.98049941414977
2,43,5.148474630227224,14.982261735683121
3,0,6,0
3,1,5.55,15.549939033683891
3,2,5.202481753193888,16.18528898293625
3,3,5.19358734191079,15.738759058000639
3,4,5.186283166939461,16.01287305921972
3,5,5.177036137489518,15.792199602092122
3,6,5.173032272657497,15.371066545786501
3,7,5.165808582871182,15.670127158123325
3,8,5.157640782355292,15.648456380961056
3,9,5.151213009381752,15.301622716964921
3,10,5.145243387939672,15.247359593934428
3,11,5.141488838752548,15.337115777486757
3,12,5.1385242385981655,15.245445570242499
3,13,5.137788303840045,15.137826178380733
3,14,5.137663756426252,15.13245729680375
3,15,5.137966275593294,15.111549437752736
3,16,5.138397108540994,15.062370766193931
3,17,5.138796879245604,15.039131609977044
3,18,5.139398280795069,15.025313845074642
3,19,5.140047765213433,15.002403274518182
3,20,5.140635323091942,14.984535760130136
3,21,5.1412515403579615,14.973634694803257
3,22,5.141854560345996,14.963972729010099
3,23,5.14255346926493,14.954375445546535
3,24,5.143128543772628,14.94821925281576
3,25,5.1437085158686955,14.944109072242856
3,26,5.144260068772849,14.940999071171483
3,27,5.144788510203523,14.939037286462622
3,28,5.145293447266738,14.938215846338805
3,29,5.145834070601836,14.938261886780982
3,30,5.146277391000728,14.939032614965178
3,31,5.146692891275973,14.940382015633372
3,32,5.147076067984824,14.942221966160112
3,33,5.14743742396796,14.94441069253654
3,34,5.147805063559588,14.947264319621798
3,35,5.148107457427739,14.94997516647201
3,36,5.148373898951718,14.952826177695378
3,37,5.148617120197708,14.95575615735429
3,38,5.148842943150578,14.958720466864527
3,39,5.149038728307846,14.961679414389955
3,40,5.149221997772065,14.964601235191562
