car,time(s),distance(m),velocity(m/s)
0,0,3,0.0
0,1,2.25,25.0
0,2,2.25,25.0
0,3,2.25,25.0
0,4,2.25,25.0
0,5,2.25,25.0
0,6,2.25,25.0
0,7,2.25,25.0
0,8,2.25,25.0
0,9,2.249166666666656,24.33333333333333
0,10,2.2166666666666743,22.166666666666647
0,11,2.1512184781699717,19.833333333333297
0,12,2.088704983089019,17.33333333333328
0,13,2.0336806686543243,14.999999999999943
0,14,2.0294979010873933,17.33333333333328
0,15,2.1110749798773214,19.66666666666663
0,16,2.2017314429337604,21.99999999999998
0,17,2.281570216918385,24.499999999999996
0,18,2.3404010978563745,25.0
0,19,2.342042063812028,25.0
0,20,2.331895589407054,25.0
0,21,2.3211076770218826,25.0
0,22,2.3104660017899277,25.0
0,23,2.301375434564693,25.0
0,24,2.293258177426901,25.0
0,25,2.2859064661470256,25.0
0,26,2.2793506457175683,25.0
0,27,2.273141169468772,25.0
0,28,2.2680155229282946,25.0
0,29,2.263856663342949,25.0
0,30,2.2598962416752557,25.0
0,31,2.2348080839226894,22.66666666666665
0,32,2.1655003318775696,20.16666666666663
0,33,2.099630350765551,17.833333333333282
0,34,2.04086062542292,15.333333333333275
0,35,2.0168368914522716,16.833333333333275
0,36,2.087852213953647,19.166666666666625
0,37,2.181634151985827,21.666666666666643
0,38,2.260722771366204,23.999999999999993
0,39,2.323580927695616,25.0
0,40,2.3365091376415648,25.0
0,41,2.3263812596698243,25.0
1,0,3,0.0
1,1,2.25,25.0
1,2,2.25,25.0
1,3,2.25,25.0
1,4,2.25,25.0
1,5,2.25,25.0
1,6,2.25,25.0
1,7,2.25,25.0
1,8,2.25,25.0
1,9,2.25,25.0
1,10,2.25,24.40550957778445
1,11,2.22917328913577,21.709551399632907
1,12,2.202075805151071,18.83700476313084
1,13,2.176911717950543,16.31647163475706
1,14,2.1485724228111622,14.025566808707627
1,15,2.153842162446722,16.873865042521945
1,16,2.178738463391869,19.411111562031074
1,17,2.2096776701499037,22.197711465577832
1,18,2.23575804318491,24.975376226163412
1,19,2.2550233072402532,25.312654506426835
1,20,2.2548609735002403,25.51410351659817
1,21,2.2536751661405106,25.460899018899326
1,22,2.2540306248581374,25.370485965377355
1,23,2.253858026636908,25.347407124719695
1,24,2.2532614805765205,25.324341337717932
1,25,2.252972266742495,25.28161083838863
1,26,2.252693561866704,25.249680078261598
1,27,2.252381013377203,25.221493308853393
1,28,2.2520814315030293,25.19429794386422
1,29,2.251869471017153,25.17036758937755
1,30,2.2516476513290855,25.148135595390855
1,31,2.251417133788027,24.987654226557474
1,32,2.2344787298659865,22.10363226285351
1,33,2.2085402045646334,19.505778615848428
1,34,2.180578659355433,16.78185370155383
1,35,2.1569642575441095,14.33690976239594
1,36,2.146878239654029,16.447346779402846
1,37,2.174300890809218,18.936936117200275
1,38,2.2061014382047914,21.64187431937567
1,39,2.2306329965369516,24.465119885659483
1,40,2.256383042117432,25.370587503413912
1,41,2.2539737895193865,25.56449540258608
2,0,3,0.0
2,1,2.25,25.0
2,2,2.25,25.0
2,3,2.25,25.0
2,4,2.25,25.0
2,5,2.25,25.0
2,6,2.25,25.0
2,7,2.25,25.0
2,8,2.25,25.0
2,9,2.25,25.0
2,10,2.25,24.900918262964076
2,11,2.246528881522636,22.409964214064203
2,12,2.2093825898417663,20.335960833005128
2,13,2.1822489716618976,17.15772654740884
2,14,2.1612402675467592,14.415755790409612
2,15,2.1387166560466992,15.387930967545353
2,16,2.1850942443895973,17.754298566517367
2,17,2.1990053140262034,21.971951105895997
