car,time(s),distance(m),velocity(m/s)
0,0,3,0.0
0,1,2.2075000000000045,38.5
0,2,2.2851232024563615,42.25
0,3,2.3482460185241507,45.75
0,4,2.4825636007251886,49.41666666666667
0,5,2.58182865400272,54.41666666666671
0,6,2.2299145486353837,58.75000000000007
0,7,2.864922279536313,63.75000000000011
0,8,2.564922279536313,68.41666666666671
0,9,2.264922279536313,68.75000000000004
0,10,2.639922279536313,68.75000000000004
0,11,2.714922279536313,68.75000000000004
0,12,2.339922279536313,68.75000000000004
0,13,2.489922279536313,66.25000000000004
0,14,2.789922279536313,62.75000000000004
0,15,2.414922279536313,59.00000000000004
0,16,2.264922279536313,55.50000000000004
0,17,2.714922279536313,51.41666666666669
0,18,2.564922279536313,46.749999999999986
0,19,2.114922279536313,42.08333333333329
0,20,2.489922279536313,37.08333333333326
0,21,2.564922279536313,34.7499999999999
0,22,1.814922279536313,38.2499999999999
0,23,1.289922279536313,41.7499999999999
0,24,1.064922279536313,44.9999999999999
1,0,3,0.0
1,1,2.175,36.46458419149906
1,2,2.196536931810647,38.991965556146845
1,3,2.267976192958213,43.6205812825864
1,4,1.9447341905023223,62.69756707784984
1,5,2.2537639341739806,44.55840009600176
1,6,2.080678039541317,-37.243907365919696
1,7,1.6706703086403878,439.62308218019734
1,8,1.9706703086403876,737.2972544837529
1,9,2.270670308640388,-5968.411234868383
1,10,1.8956703086403877,-2257.495862900605
1,11,1.8206703086403877,52692.37158966923
1,12,2.1956703086403877,-97113.39608543905
1,13,2.045670308640388,-452182.4924243577
1,14,1.5956703086403876,2156600.9039975465
1,15,1.9706703086403876,3193694.881141658
1,16,2.270670308640388,-28827394.157943144
1,17,1.8206703086403877,14809902.447286211
1,18,1.8206703086403877,251144234.22519112
1,19,2.270670308640388,-675680582.1100641
1,20,2.045670308640388,-2158470440.1734133
1,21,1.5956703086403876,10292508013.521467
1,22,1.2956703086403878,4179379455.3153696
1,23,0.8456703086403877,-126691540425.23068
1,24,0.0956703086403877,254025231245.26474
2,0,3,0.0
2,1,2.175,35.488194730499686
2,2,2.2006994610644823,41.96996868866579
2,3,2.125232585802178,48.363293853990406
2,4,2.695553503458336,-28.12295091210789
2,5,2.2122587065091466,68.59168951386086
2,6,2.252889776702273,857.4521676311176
2,7,2.627889776702273,-3059.8431728009846
2,8,2.3278897767022726,-8013.289748279476
2,9,2.0278897767022728,70282.04974080065
2,10,2.4028897767022728,45328.67512719416
2,11,2.4778897767022725,-778724.4649479475
2,12,2.1028897767022725,1391543.412856224
2,13,2.252889776702273,8129890.162133044
2,14,2.7028897767022726,-39058591.22764618
2,15,2.3278897767022726,-68989246.50317341
2,16,2.0278897767022728,609707907.7702727
2,17,2.4778897767022725,-269478665.6068123
2,18,2.4778897767022725,-6109395114.580261
2,19,2.0278897767022728,16544804842.793983
2,20,2.252889776702273,59363095789.00983
2,21,2.4778897767022725,-284463204285.24274
2,22,1.7278897767022727,-148887966098.63742
2,23,1.1278897767022726,3904675226642.869
2,24,0.9028897767022727,-7914007248321.529
3,0,3,0.0
3,1,2.175,35.162731576833224
3,2,2.189739981619584,40.20871385524445
3,3,2.2196726550857306,33.439863436356156
3,4,2.1002808011166962,161.66900287228862
3,5,2.4752808011166962,132.83026916301299
3,6,2.50964973092357,-2529.5611737115923
3,7,2.13464973092357,9975.217095078784
3,8,2.43464973092357,40456.75090550161
3,9,2.73464973092357,-344559.7025828163
3,10,2.35964973092357,-352618.38499602606
3,11,2.28464973092357,5066881.681823872
3,12,2.65964973092357,-8630539.723823141
3,13,2.50964973092357,-65776294.98715477
3,14,2.05964973092357,319618130.41954416
3,15,2.43464973092357,680430580.067338
3,16,2.73464973092357,-5922599100.2412615
3,17,2.28464973092357,2081510085.9119253
3,18,2.28464973092357,69048641158.3262
3,19,2.73464973092357,-188258073109.85437
3,20,2.50964973092357,-764843735032.8965
3,21,2.05964973092357,3688871609895.02
3,22,1.7596497309235701,2441145079212.9644
3,23,1.3096497309235702,-56869046284557.96
3,24,0.5596497309235702,116529914027327.9
4,0,3,0.0
4,1,2.175,35.05424385894441
4,2,2.1819711587392248,38.033241535176124
4,3,2.2397053558538347,41.95967578243603
4,4,2.014353389031112,29.52464089480021
