car,time(s),distance(m),velocity(m/s)
0,0,3,0
0,1,2.2075000000000045,3.85
0,2,2.2851232024563615,4.225
0,3,2.3482460185241507,4.575
0,4,2.4825636007251886,4.941666666666667
0,5,2.58182865400272,5.441666666666671
0,6,2.2299145486353837,5.875000000000007
0,7,2.864922279536313,6.375000000000011
0,8,2.564922279536313,6.841666666666671
0,9,2.264922279536313,6.875000000000004
0,10,2.639922279536313,6.875000000000004
0,11,2.714922279536313,6.875000000000004
0,12,2.339922279536313,6.875000000000004
0,13,2.489922279536313,6.625000000000004
0,14,2.789922279536313,6.275000000000004
0,15,2.414922279536313,5.900000000000004
0,16,2.264922279536313,5.550000000000004
0,17,2.714922279536313,5.141666666666669
0,18,2.564922279536313,4.674999999999999
0,19,2.114922279536313,4.2083333333333295
0,20,2.489922279536313,3.708333333333326
0,21,2.564922279536313,3.47499999999999
0,22,1.814922279536313,3.82499999999999
0,23,1.289922279536313,4.17499999999999
0,24,1.064922279536313,4.49999999999999
1,0,3,0
1,1,2.175,3.646458419149906
1,2,2.196536931810647,3.8991965556146844
1,3,2.267976192958213,4.36205812825864
1,4,1.9447341905023223,6.269756707784984
1,5,2.2537639341739806,4.455840009600176
1,6,2.080678039541317,-3.7243907365919697
1,7,1.6706703086403878,43.962308218019736
1,8,1.9706703086403876,73.72972544837529
1,9,2.270670308640388,-596.8411234868383
1,10,1.8956703086403877,-225.7495862900605
1,11,1.8206703086403877,5269.237158966923
1,12,2.1956703086403877,-9711.339608543905
1,13,2.045670308640388,-45218.24924243577
1,14,1.5956703086403876,215660.09039975464
1,15,1.9706703086403876,319369.4881141658
1,16,2.270670308640388,-2882739.4157943144
1,17,1.8206703086403877,1480990.244728621
1,18,1.8206703086403877,25114423.42251911
1,19,2.270670308640388,-67568058.21100642
1,20,2.045670308640388,-215847044.01734132
1,21,1.5956703086403876,1029250801.3521467
1,22,1.2956703086403878,417937945.53153694
1,23,0.8456703086403877,-12669154042.523067
1,24,0.0956703086403877,25402523124.526474
2,0,3,0
2,1,2.175,3.5488194730499685
2,2,2.2006994610644823,4.196996868866579
2,3,2.125232585802178,4.836329385399041
2,4,2.695553503458336,-2.812295091210789
2,5,2.2122587065091466,6.859168951386086
2,6,2.252889776702273,85.74521676311176
2,7,2.627889776702273,-305.9843172800985
2,8,2.3278897767022726,-801.3289748279476
2,9,2.0278897767022728,7028.204974080065
2,10,2.4028897767022728,4532.8675127194165
2,11,2.4778897767022725,-77872.44649479476
2,12,2.1028897767022725,139154.3412856224
2,13,2.252889776702273,812989.0162133044
2,14,2.7028897767022726,-3905859.122764618
2,15,2.3278897767022726,-6898924.650317341
2,16,2.0278897767022728,60970790.77702727
2,17,2.4778897767022725,-26947866.56068123
2,18,2.4778897767022725,-610939511.4580262
2,19,2.0278897767022728,1654480484.2793984
2,20,2.252889776702273,5936309578.900983
2,21,2.4778897767022725,-28446320428.524273
2,22,1.7278897767022727,-14888796609.863743
2,23,1.1278897767022726,390467522664.2869
2,24,0.9028897767022727,-791400724832.153
3,0,3,0
3,1,2.175,3.5162731576833224
3,2,2.189739981619584,4.020871385524445
3,3,2.2196726550857306,3.3439863436356156
3,4,2.1002808011166962,16.166900287228863
3,5,2.4752808011166962,13.2830269163013
3,6,2.50964973092357,-252.95611737115922
3,7,2.13464973092357,997.5217095078784
3,8,2.43464973092357,4045.6750905501613
3,9,2.73464973092357,-34455.97025828163
3,10,2.35964973092357,-35261.83849960261
3,11,2.28464973092357,506688.1681823872
3,12,2.65964973092357,-863053.9723823142
3,13,2.50964973092357,-6577629.498715477
3,14,2.05964973092357,31961813.041954417
3,15,2.43464973092357,68043058.0067338
3,16,2.73464973092357,-592259910.0241262
3,17,2.28464973092357,208151008.59119254
3,18,2.28464973092357,6904864115.832621
3,19,2.73464973092357,-18825807310.985435
3,20,2.50964973092357,-76484373503.28964
3,21,2.05964973092357,368887160989.502
3,22,1.7596497309235701,244114507921.29645
3,23,1.3096497309235702,-5686904628455.796
