car,time(s),distance(m),velocity(m/s)
0,0,4.5,0
0,1,4.641666666666675,31.5
0,2,4.536666666666679,28
0,3,4.316666666666674,24
0,4,4.036666666666656,20.5
0,5,3.636777758848916,15.999999999999995
0,6,3.122277744652274,11.333333333333332
0,7,2.597277744652274,6.666666666666668
0,8,1.997277744652274,1.333333333333334
0,9,1.4722777446522741,2.500000000000001
0,10,0.9472777446522741,6.000000000000001
0,11,0.42227774465227413,9.5
1,0,4.5,0
1,1,4.666666666666674,35.29612101813748
1,2,4.666666666666674,35.90880614809197
1,3,4.666666666666674,36.633387910016026
1,4,4.666666666666674,37.26852171276422
1,5,4.671203706332721,36.87407502051724
1,6,4.664851850800256,35.70740835385059
1,7,4.658499995267789,34.54074168718394
1,8,4.651240731802114,33.207408353850624
1,9,4.626831048303075,32.040741687183974
1,10,4.615231095804939,30.874075020517296
1,11,4.60363114330678,29.707408353850624
2,0,4.5,0
2,1,4.666666666666674,35.329023353486086
2,2,4.666666666666674,36.00978460899108
2,3,4.666666666666674,36.81487545557338
2,4,4.666666666666674,37.52057968084916
2,5,4.675337453584007,37.37121584186615
2,6,4.674631691858167,36.2045491751995
2,7,4.67392593013235,35.03788250853285
2,8,4.673119345302825,33.70454917519954
2,9,4.604272826303554,32.53788250853289
2,10,4.479709433574112,31.371215841866224
2,11,4.3551460408446925,30.204549175199553
3,0,4.5,0
3,1,4.6666666666666625,35.33267916852482
3,2,4.666666666666674,36.021004437979876
3,3,4.666666666666674,36.835040738413085
3,4,4.6666666666666625,37.54858612174747
3,5,4.675796758834144,38.0610195998579
3,6,4.675718340864603,38.21791783898748
3,7,4.675639922895061,38.34540467441085
3,8,4.675550302358443,38.48912355275791
3,9,4.668626419887573,38.06093193636453
3,10,4.646426843714858,36.89426526969788
3,11,4.624227267542119,35.72759860303123
4,0,4.5,0
4,1,4.6666666666666625,35.33308537019579
4,2,4.6666666666666625,36.0222510856453
4,3,4.6666666666666625,36.83728132539529
4,4,4.6666666666666625,37.55169794851397
4,5,4.675847792750824,38.148769121246325
4,6,4.675839079643095,38.53835260168218
4,7,4.675830366535377,38.91077177590882
4,8,4.675820408697973,39.33523796269319
4,9,4.68045421981559,39.176130441505144
4,10,4.67775593613253,38.009463774838494
4,11,4.67505765244947,36.842797108171844
5,0,4.5,0
5,1,4.6666666666666625,35.333130503714784
5,2,4.6666666666666625,36.022389602052556
5,3,4.6666666666666625,36.8375302795044
5,4,4.6666666666666625,37.55204370704356
5,5,4.675853463186013,38.15939978158813
5,6,4.675852495062929,38.577274451997994
5,7,4.675851526939846,38.97947436987085
5,8,4.6758504205134725,39.43807598857549
5,9,4.681889767673852,39.69819353996073
5,10,4.681564217919254,39.52862384465004
5,11,4.681238668164667,39.312514183211405
6,0,0,0
6,1,0,35.33313551855022
6,2,0,36.022404992764464
6,3,0,36.83755794107208
6,4,0,37.552082124657964
6,5,0,38.160678823128436
6,6,0,38.58196776734356
6,7,0,38.98776177221429
6,8,0,39.45048302630323
6,9,0,39.78025054045392
6,10,0,39.8814392292549
6,11,0,39.95787030560687
