car,time(s),distance(m),velocity(m/s)
0,0,4,0
0,1,4.48166666666666,31
0,2,4.360200705487523,27.5
0,3,4.150669018291774,24
0,4,3.891600856606806,20.5
0,5,3.514967401982699,15.333333333333329
0,6,3.0958992402977175,10.666666666666666
0,7,2.5997394422687647,6.000000000000001
0,8,2.074739442268765,1.333333333333334
0,9,1.549739442268765,2.500000000000001
0,10,0.9497394422687648,6.500000000000002
0,11,0.4247394422687648,10
0,12,0.011702755026476552,13.5
1,0,4,0
1,1,4.493333333333339,35.28417162017985
1,2,4.517866490294773,35.102921215070594
1,3,4.5123432666856615,33.936254548403944
1,4,4.471097892286229,32.769587881737294
1,5,4.4145322951110755,31.436254548403966
1,6,4.362309905927759,30.26958788173729
1,7,4.315643072299986,29.102921215070616
1,8,4.263420683116669,27.936254548403944
1,9,4.211198293933331,26.769587881737266
1,10,4.152309214231764,25.436254548403923
1,11,4.105642380603991,24.269587881737248
1,12,4.053419991420673,23.102921215070573
2,0,4,0
2,1,4.516666666666675,35.30785258852817
2,2,4.518366416806498,35.72529377496822
2,3,4.5194575056126265,35.89093787712102
2,4,4.511987090534831,34.76959503721302
2,5,4.473798576571403,33.43626170387971
2,6,4.4256164570495455,32.26959503721306
2,7,4.378162863174157,31.102928370546387
2,8,4.326038398502851,29.936261703879712
2,9,4.273913933831523,28.769595037213037
2,10,4.215136767857961,27.436261703879694
2,11,4.168567858742199,26.26959503721302
2,12,4.1164433940708705,25.102928370546344
3,0,4,0
3,1,4.458333333333326,35.309826002557195
3,2,4.518408077349136,35.80098620774648
3,3,4.520626544648621,36.255063909455004
3,4,4.5199446395490215,36.28058007264201
3,5,4.511358463163219,35.4320720945552
3,6,4.485861019349182,34.26540542788855
3,7,4.443627977788355,33.0987387612219
3,8,4.392877177583955,31.932072094555252
3,9,4.341632676864856,30.765405427888574
3,10,4.283861183979548,29.43207209455523
3,11,4.238172238816015,28.265405427888556
3,12,4.186927738096915,27.09873876122188
4,0,4,0
4,1,4.516666666666675,35.309990453726286
4,2,4.5184115490610335,35.80786853594034
4,3,4.520732446069678,36.28830675021849
4,4,4.5206706731022335,36.66107848453182
4,5,4.521357370713531,36.73935945819682
4,6,4.515419327130542,36.22350307775426
4,7,4.500543424103239,35.05683641108761
4,8,4.457575359214923,33.89016974442096
4,9,4.409046026419389,32.72350307775431
4,10,4.352504541945768,31.39016974442098
4,11,4.307891854142463,30.2235030777543
4,12,4.257723610783603,29.05683641108763
5,0,4,0
5,1,4.458333333333326,35.31000415799038
5,2,4.518411838370355,35.808489948745006
5,3,4.52074197797989,36.29131857067674
5,4,4.520736417937394,36.70908215999291
5,5,4.522610296356606,37.08087394111175
5,6,4.523101510859249,37.222560697068424
5,7,4.520699920573497,36.84589045326493
5,8,4.504637007392716,35.80214207884835
5,9,4.472228300818517,34.6354754121817
5,10,4.419393021288147,33.302142078848384
5,11,4.375879403594377,32.135475412181734
5,12,4.326810230345029,30.96880874551506
6,0,0,0
6,1,0,35.31000530001237
6,2,0,35.80854572359999
6,3,0,36.29158968769225
6,4,0,36.71455788468556
6,5,0,37.133847265325265
6,6,0,37.42634677911798
6,7,0,37.57070836743439
6,8,0,37.2886905425599
6,9,0,36.50034474191514
6,10,0,35.16701140858183
6,11,0,34.00034474191518
6,12,0,32.83367807524853
