car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,1,5.675,2.466666666666665
0,2,5.325,2.93333333333333
0,3,5.2488888888888825,3.399999999999995
0,4,5.288888888888891,3.8999999999999932
0,5,5.315657641149573,4.366666666666658
0,6,5.336933513161353,4.833333333333323
0,7,5.358319154102787,5.299999999999988
0,8,5.372527371380602,5.7999999999999865
0,9,5.391833862866951,6.2666666666666515
0,10,5.404047301391119,6.76666666666665
0,11,5.4250379747511035,7.233333333333315
0,12,5.434995458808248,7.69999999999998
0,13,5.455841831754265,8.166666666666645
0,14,5.467581148726458,8.63333333333331
0,15,5.486876697110392,9.099999999999975
0,16,5.502144129913381,9.56666666666664
0,17,5.521428479859151,9.56666666666664
0,18,5.506319801079667,7.699999999999977
0,19,5.436066679867645,5.833333333333305
0,20,5.323432081873671,3.966666666666633
0,21,5.157563675976189,1.966666666666633
0,22,4.994210687536361,2.4333333333332985
0,23,4.930880619261347,2.899999999999964
0,24,4.878439439875228,3.3666666666666285
0,25,4.92126124551819,3.8333333333332935
0,26,4.98146225513774,4.299999999999959
0,27,5.044877801897201,4.766666666666624
0,28,5.1216173560089375,5.266666666666621
0,29,5.183520534910462,5.733333333333287
0,30,5.240563965665433,6.199999999999952
0,31,5.295799707625679,6.666666666666617
0,32,5.339070498644264,7.133333333333283
0,33,5.38852817222139,7.599999999999946
0,34,5.420662696705312,8.066666666666613
0,35,5.467175877699992,8.566666666666611
0,36,5.4912351351623325,9.033333333333276
0,37,5.529096244348193,9.533333333333275
0,38,5.551055156711959,9.833333333333274
0,39,5.554515863411143,7.9666666666666135
0,40,5.496882422285012,6.09999999999994
0,41,5.385949763231247,4.233333333333268
1,0,6,0
1,1,5.675,2
1,2,5.325,2
1,3,5.10333333333333,2.380229965729691
1,4,5.10333333333333,3.3128698497053843
1,5,5.126918430715113,4.1040676781586996
1,6,5.163414335134666,4.640796370400448
1,7,5.198850560625511,5.142818498001807
1,8,5.228306806599107,5.6460886431634885
1,9,5.256417429838848,6.110253800369145
1,10,5.280243828994367,6.599702689247956
1,11,5.304138345941714,7.054885590787858
