car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,1,5.103666666666664,0.24333333333333318
0,2,5.119499999999993,0.293333333333333
0,3,5.145555555555552,0.3399999999999995
0,4,5.1855555555555615,0.38999999999999935
0,5,5.2341666666666695,0.4366666666666658
0,6,5.293666666666672,0.48333333333333234
0,7,5.328335974264382,0.5299999999999988
0,8,5.373894170750987,0.5766666666666653
0,9,5.434789857462829,0.6266666666666652
0,10,5.502903609504983,0.6733333333333317
0,11,5.518147117254557,0.7199999999999982
0,12,5.518775860620371,0.7666666666666646
0,13,5.529460159541782,0.7466666666666644
0,14,5.514922236240954,0.5599999999999972
0,15,5.445872918581836,0.37333333333333
0,16,5.313547535522275,0.18666666666666337
0,17,5.137666596907138,3.247402347028583e-15
0,18,4.9398967694031395,0.046666666666663414
0,19,4.74931369996018,0.0966666666666634
0,20,4.70720609059299,0.1433333333333302
0,21,4.675987370114695,0.189999999999997
0,22,4.654622074364147,0.23999999999999694
0,23,4.6459589094414016,0.2866666666666634
0,24,4.805736372031902,0.33666666666666323
0,25,5.002767536284841,0.38333333333332975
0,26,5.210687589426675,0.4299999999999963
0,27,5.445542408269125,0.4799999999999961
0,28,5.502277632144024,0.5266666666666626
0,29,5.4355358961110145,0.5766666666666624
0,30,5.384521386924621,0.6233333333333289
0,31,5.344395766627121,0.6699999999999954
0,32,5.361271115365139,0.7199999999999952
0,33,5.477495554648772,0.7666666666666617
0,34,5.603775549487954,0.7466666666666615
0,35,5.704833322104946,0.5599999999999942
0,36,5.762335539166361,0.3733333333333271
0,37,5.504256009055962,0.18666666666666046
0,38,5.202620923390009,6.178391132038996e-15
0,39,4.856384918906656,0.04999999999999381
0,40,4.544249833240701,0.09666666666666048
0,41,4.5434479256015265,0.14333333333332726
1,0,6,0
1,1,5.171333333333337,0.2
1,2,5.1,0.2039280308308566
1,3,5.1,0.23670613916776215
1,4,5.1,0.27796743392357215
1,5,5.1,0.3169029017752499
1,6,5.10255139866365,0.35586721816217465
1,7,5.137080327245121,0.431157398661081
1,8,5.171609255826593,0.5228948201045858
1,9,5.208604536449593,0.6225636404627048
1,10,5.2431334650310415,0.7156832597758226
1,11,5.295593849654892,0.7798461328176096
1,12,5.346300538050263,0.8068657478038295
1,13,5.397007226445635,0.8304610231783931
1,14,5.447713914841006,0.8537895885003941
1,15,5.474276836749505,0.852502667167351
1,16,5.451245709252066,0.7271293079989118
1,17,5.428214581754628,0.5808431055046999
1,18,5.405183454257167,0.43292807346225626
1,19,5.365097702427079,0.2738875207578722
1,20,5.259717402128968,0.10001710422719814
1,21,5.154337101830857,-0.08285900551044871
1,22,5.041429637225724,-0.27955261645020335
1,23,4.936049336927613,-0.46318554917153465
1,24,4.842742716699945,-0.3708172035631715
1,25,4.775491632643866,-0.0388727592503198
1,26,4.708240548587787,0.3113054886321486
1,27,4.636185815670546,0.6880249569811517
1,28,4.837400755982071,0.8803452795555854
1,29,5.227999416061334,0.7244873389634405
1,30,5.592558165468631,0.5428268683393984
1,31,5.957116914875951,0.35870922504441893
1,32,6.027317536169607,0.2331686440478614
1,33,5.521520677782337,0.4837004828979555
1,34,5.015723819395066,0.7953965997082386
1,35,4.509926961007795,1.1118565920798629
1,36,4.023560544878819,1.4286876263589663
1,37,4.801328977518369,1.202109030224312
1,38,5.579097410157897,0.7294677272145894
1,39,6.41242073084311,0.2024395864092646
1,40,7.190189163482637,-0.29088040370546253
1,41,6.545984741343363,-0.4876252738852645
2,0,6,0
2,1,5.1,0.2
2,2,5.1,0.20013093436102855
2,3,5.1,0.20122353797225873
2,4,5.1,0.20259891446411915
2,5,5.1,0.2038967633925084
2,6,5.100085046622121,0.2051955739387393
2,7,5.1012360109081785,0.25900044052914234
2,8,5.102386975194213,0.33657963392606594
2,9,5.103620151215,0.4216931332363652
2,10,5.104771115501035,0.5012702802094632
2,11,5.159936633407574,0.5914915733916318
2,12,5.229399470098315,0.6953521314281789
2,13,5.298862306789033,0.8004701179060699
2,14,5.368325143479774,0.9056860411670249
2,15,5.430916755951012,0.9861686144629302
2,16,5.460257331919024,0.9418290313870685
2,17,5.4895979078870365,0.8764524096530474
2,18,5.518938483855027,0.8094372852228637
2,19,5.538889004275165,0.7355110637980588
2,20,5.458463494163152,0.547259194206739
2,21,5.378037984051138,0.3167694003073457
2,22,5.291867794645396,0.06627536329039813
2,23,5.211442284533382,-0.16776403319535935
2,24,5.0665906368585185,-0.3536175345252056
2,25,4.93614242458766,-0.4719035967109841
2,26,4.805694212316825,-0.5860954260819043
2,27,4.665928270598078,-0.7081006066708079
2,28,4.608193904085465,-0.5454806255434435
2,29,4.621877694595196,0.2565246141893102
2,30,4.6346492324042625,1.0678419564565513
2,31,4.64742077021333,1.8834214179494644
2,32,4.959013537807232,2.4693465520855624
2,33,5.658617990698235,1.5426558313147871
2,34,6.358222443589216,0.37085508096431197
2,35,7.057826896480208,-0.8200364478388144
2,36,7.685178556556162,-2.012414891814499
2,37,6.1154896540270105,-1.180485128818559
2,38,4.589356307053436,0.5680798768957739
2,39,2.977268990851576,2.5183813375929556
2,40,1.4616356438780032,4.3439787941581915
2,41,1.5066419736564511,4.238240064615159
3,0,6,0
3,1,5.175,0.2
3,2,5.1,0.20000436447870093
3,3,5.1,0.20004078459907534
3,4,5.1,0.20008663048213743
3,5,5.1,0.2001298921130837
3,6,5.100002834887403,0.20017318579795806
3,7,5.100041200363603,0.203676521147875
3,8,5.1000795658398035,0.2087465369060661
3,9,5.1001206717071685,0.21431002705968813
3,10,5.100159037183369,0.21951170394754677
3,11,5.103778449060894,0.2877281599619149
3,12,5.108352964075391,0.4367569113793161
3,13,5.112927479089888,0.5932359552614721
3,14,5.117501994104384,0.7502952768380823
3,15,5.1789825729915835,0.8915863396060519
3,16,5.313986781796996,0.9530991568397148
3,17,5.44899099060242,1.0011661755215402
3,18,5.583995199407843,1.04818594712942
3,19,5.717308735978975,1.0956328678728933
3,20,5.634908506177373,0.9692541653002351
3,21,5.552508276375761,0.7824273209011472
3,22,5.464222315874042,0.5771885041690867
3,23,5.381822086072441,0.3852817017918792
3,24,5.281423380700471,0.1349529180733567
3,25,5.199162055858847,-0.13667150755789675
3,26,5.116900731017234,-0.41111440423484985
3,27,5.028763597258353,-0.7053966294616265
3,28,4.874545997519329,-0.873360676036562
3,29,4.6877833362881685,-0.8110068753947182
3,30,4.513471519139091,-0.7285775741639778
3,31,4.339159701990013,-0.6445031165771243
3,32,4.29981076022217,-0.35014375640669027
3,33,4.528311719832982,0.9681426541002974
3,34,4.756812679443783,2.4600099877944226
3,35,4.985313639054584,3.9653969434879195
3,36,5.3088091957254395,5.471836896110166
3,37,6.358809195725439,3.37532649280548
3,38,7.408809195725439,-0.3526040035369458
3,39,8.53380919572544,-4.483572608029725
3,40,9.58380919572544,-8.348604845912664
3,41,9.133809195725439,-7.503308958289795
4,0,6,0
4,1,5.1,0.2
4,2,5.1,0.20000014548262332
4,3,5.1,0.20000135948663575
4,4,5.1,0.20000288768273783
4,5,5.1,0.20000432973710267
4,6,5.10000009449625,0.20000577285993196
4,7,5.100001373345458,0.200179545364826
4,8,5.1000026521946555,0.20043134731159767
4,9,5.100004022390237,0.20070767610038315
4,10,5.100005301239446,0.20096603550738154
4,11,5.1001853003447195,0.20748931986758307
4,12,5.1004130870827,0.22204699387568233
4,13,5.1006408738206686,0.23734537887472631
4,14,5.100868660558649,0.25270145530912197
4,15,5.106809063551054,0.3088527908573463
4,16,5.120210829506982,0.5708013364677453
4,17,5.1336125954629095,0.8674340194642548
4,18,5.1470143614188375,1.1667681308102893
4,19,5.198219926005322,1.4815286902959688
4,20,5.451337849704475,1.404374613881761
4,21,5.70445577340364,1.1958297712426935
4,22,5.975653548795606,0.961374749988315
4,23,6.228771472494759,0.7417880531091001
4,24,5.905056862609319,0.532601146344439
4,25,5.47839235287347,0.3595736418767258
4,26,5.051727843137622,0.18819444220202838
4,27,4.594587296992063,0.00471204387732199
4,28,4.549631868020697,-0.22458898470171484
4,29,4.832160145334899,-0.6021040241525235
4,30,5.095853204161472,-0.9676354181023571
4,31,5.359546262988056,-1.3340618848505872
4,32,5.306890740912911,-1.5885849274661155
4,33,4.7026860790639144,-1.1199339152141436
4,34,4.0984814172149076,-0.5338137428614164
4,35,3.494276755365911,0.061455698961630056
4,36,2.9264809189675134,0.6574377459635056
4,37,3.976480918967513,2.378123179565444
4,38,5.026480918967513,4.608045202499435
4,39,6.151480918967513,7.039935241103521
4,40,7.201480918967514,9.312652632043294
4,41,8.251480918967513,6.57453976799859
5,0,0,0
5,1,0,0.2
5,2,0,0.20000000484942082
5,3,0,0.20000004531622123
5,4,0,0.20000009625609133
5,5,0,0.20000014432457008
5,6,0,0.2000001924286643
5,7,0,0.20000788466749064
5,8,0,0.20001903811309957
5,9,0,0.20003127837662565
5,10,0,0.20004272269610573
5,11,0,0.20047100447478847
5,12,0,0.20143385605820852
5,13,0,0.20244599100393085
5,14,0,0.20346196446149514
5,15,0,0.210018793715789
5,16,0,0.24452876697042042
5,17,0,0.28374983975355084
5,18,0,0.3233378439002047
5,19,0,0.37186377897113104
5,20,0,0.7820083146691184
5,21,0,1.321386027319014
5,22,0,1.9101239732296729
5,23,0,2.4603622200243516
5,24,0,2.2082054090410406
5,25,0,1.2574291279680705
5,26,0,0.2535669328432627
5,27,0,-0.8264497476736985
5,28,0,-1.3352452709151124
5,29,0,-0.7461412972305042
5,30,0,-0.0828820186674808
5,31,0,0.5880780291986925
5,32,0,1.0124259312621255
5,33,0,-0.10040438878014928
5,34,0,-1.464224107972678
5,35,0,-2.8475925295229096
5,36,0,-4.2324835323660706
5,37,0,-2.895133947571506
5,38,0,-0.32512944466909854
5,39,0,2.531776803671721
5,40,0,5.205371507965105
5,41,0,7.3886514420212235
