car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,1,5.475,2.533333333333335
0,2,5.046888888888884,3.000000000000003
0,3,5.073333333333335,3.4666666666666712
0,4,5.110666666666657,3.9333333333333393
0,5,5.158888888888896,4.400000000000005
0,6,5.218000000000006,4.86666666666667
0,7,5.288000000000011,5.333333333333334
0,8,5.368888888888887,5.8
0,9,5.460666666666657,6.266666666666665
0,10,5.563333333333344,6.73333333333333
0,11,5.67688888888888,7.199999999999996
0,12,5.820000000000005,7.733333333333326
0,13,5.956888888888898,8.199999999999992
0,14,6.104666666666662,8.666666666666657
0,15,6.263333333333321,9.133333333333322
0,16,6.432888888888897,9.599999999999987
0,17,6.6400000000000095,9.46666666666665
0,18,6.765066666666667,7.59999999999998
0,19,6.840459259259251,5.733333333333314
0,20,6.872296296296281,3.8666666666666476
0,21,6.86057777777778,1.9999999999999813
0,22,6.821970370370354,2.4666666666666495
0,23,6.793140740740728,2.9333333333333176
0,24,6.7751999999999954,3.3999999999999857
0,25,6.768148148148134,3.866666666666654
0,26,6.773422222222211,4.399999999999986
0,27,6.789703703703708,4.866666666666651
0,28,6.816874074074076,5.333333333333316
0,29,6.854933333333338,5.799999999999981
0,30,6.911762962962962,6.333333333333313
0,31,6.973155555555559,6.799999999999978
0,32,7.045437037037027,7.266666666666643
0,33,7.128607407407389,7.733333333333308
0,34,7.222666666666646,8.199999999999973
0,35,6.927303703703683,8.666666666666638
0,36,6.576111111111095,9.133333333333303
0,37,6.188081481481459,9.666666666666634
0,38,5.860222222222205,9.466666666666631
0,39,5.51214074074071,7.599999999999961
0,40,5.120503703703685,5.733333333333295
0,41,4.685311111111082,3.866666666666628
0,42,4.206562962962925,1.9999999999999618
0,43,3.7009259259258895,2.46666666666663
1,0,6,0
1,1,5.475,2.0649535131839665
1,2,5.0266666666666655,2.171270967189347
1,3,5.0266666666666655,2.2800093560027497
1,4,5.0266666666666655,2.3888894364738684
1,5,5.0266666666666655,2.497777809826646
1,6,5.0266666666666655,2.6066666685424114
1,7,5.0266666666666655,2.7155555556653383
1,8,5.0266666666666655,2.824444444450869
1,9,5.0266666666666655,2.9333333333337084
1,10,5.0266666666666655,3.0422222222222435
1,11,5.0266666666666655,3.1511111111111116
1,12,5.0266666666666655,3.275555555555554
1,13,5.0266666666666655,3.3844444444444437
1,14,5.0266666666666655,3.493333333333334
1,15,5.0266666666666655,3.6022222222222244
1,16,5.0266666666666655,3.711111111111115
1,17,5.0266666666666655,3.835555555555561
1,18,5.020548148148146,4.851111111111118
1,19,5.0062716049382745,6.017777777777786
1,20,4.991995061728403,7.1844444444444555
1,21,4.9777185185185315,8.351111111111122
1,22,4.963441975308638,9.517777777777784
1,23,4.949165432098766,10.684444444444448
1,24,4.934888888888895,11.85111111111111
1,25,4.920612345679023,13.017777777777773
1,26,4.904296296296297,14.351111111111102
1,27,4.890019753086426,15.517777777777763
1,28,4.875743209876555,16.684444444444434
1,29,4.861466666666661,17.85111111111111
1,30,4.845150617283958,19.184444444444452
1,31,4.830874074074063,20.35111111111113
1,32,4.8165975308641915,21.517777777777802
1,33,4.802320987654321,22.684444444444477
1,34,4.788044444444449,23.851111111111152
1,35,4.840382716049385,24.017777777777816
1,36,4.8259851851851865,22.851111111111145
1,37,4.809530864197541,21.517777777777802
1,38,4.795133333333342,20.35111111111113
1,39,4.7807358024691435,19.184444444444452
1,40,4.766338271604946,18.017777777777777
1,41,4.751940740740747,16.851111111111102
1,42,4.737543209876549,15.68444444444443
1,43,4.72314567901235,14.517777777777766
2,0,6,0
2,1,5.475,2.0866046842452874
2,2,5.0266666666666655,2.2283612895857967
2,3,5.0266666666666655,2.3733458080036667
2,4,5.0266666666666655,2.5185192486318257
2,5,5.0266666666666655,2.6637037464355293
2,6,5.0266666666666655,2.808888891389883
2,7,5.0266666666666655,2.954074074220452
2,8,5.0266666666666655,3.0992592592678267
2,9,5.0266666666666655,3.2444444444449463
2,10,5.0266666666666655,3.3896296296296597
2,11,5.0266666666666655,3.534814814814817
2,12,5.0266666666666655,3.7007407407407413
2,13,5.0266666666666655,3.8459259259259264
2,14,5.0266666666666655,3.9911111111111115
2,15,5.0266666666666655,4.136296296296297
2,16,5.0266666666666655,4.281481481481482
2,17,5.0266666666666655,4.4474074074074075
2,18,5.030745679012353,5.46814814814815
2,19,5.025986831275714,6.634814814814819
2,20,5.021227983539097,7.801481481481487
2,21,5.016469135802481,8.96814814814815
2,22,5.011710288065842,10.134814814814813
2,23,5.006951440329226,11.301481481481478
2,24,5.002192592592587,12.468148148148138
2,25,4.997433744855971,13.634814814814803
2,26,4.991995061728403,14.968148148148131
2,27,4.987236213991764,16.134814814814792
2,28,4.982477366255148,17.301481481481467
2,29,4.977718518518509,18.468148148148142
2,30,4.972279835390964,19.801481481481485
2,31,4.967520987654325,20.96814814814816
2,32,4.962762139917686,22.134814814814835
2,33,4.95800329218107,23.30148148148151
2,34,4.953244444444453,24.468148148148185
2,35,5.015186831275718,25.63481481481486
2,36,5.0103876543209935,26.80148148148153
2,37,5.004902880658437,28.13481481481488
2,38,5.000103703703712,29.301481481481552
2,39,4.995304526748964,30.468148148148227
2,40,4.990505349794239,31.634814814814902
2,41,4.985706172839514,32.80148148148156
2,42,4.980906995884789,33.96814814814821
2,43,4.97625102880661,35.13481481481486
3,0,6,0
3,1,5.475,2.0938217412657285
3,2,5.074777777777785,2.2473913970512793
3,3,5.0266666666666655,2.404457958670638
3,4,5.0266666666666655,2.5617291860178106
3,5,5.0266666666666655,2.719012391971822
3,6,5.0266666666666655,2.8762962990057046
3,7,5.0266666666666655,3.0335802470721527
3,8,5.0266666666666655,3.1908641975401424
3,9,5.0266666666666655,3.348148148148687
3,10,5.0266666666666655,3.5054320987654606
3,11,5.0266666666666655,3.6627160493827144
3,12,5.0266666666666655,3.8424691358024656
3,13,5.0266666666666655,3.9997530864197497
3,14,5.0266666666666655,4.157037037037032
3,15,5.0266666666666655,4.314320987654314
3,16,5.0266666666666655,4.4716049382715966
3,17,5.0266666666666655,4.651358024691348
3,18,5.034144855967076,5.673827160493818
3,19,5.032558573388201,6.840493827160488
3,20,5.030972290809325,8.007160493827156
3,21,5.029386008230449,9.173827160493818
3,22,5.027799725651573,10.340493827160483
3,23,5.026213443072697,11.507160493827143
3,24,5.0246271604938215,12.673827160493808
3,25,5.023040877914946,13.840493827160468
3,26,5.021227983539097,15.173827160493797
3,27,5.019641700960221,16.340493827160465
3,28,5.018055418381346,17.50716049382714
3,29,5.01646913580247,18.673827160493815
3,30,5.01465624142661,20.007160493827158
3,31,5.013069958847734,21.173827160493836
3,32,5.011483676268858,22.340493827160508
3,33,5.009897393689982,23.507160493827183
3,34,5.008311111111107,24.673827160493857
3,35,5.1585499398262415,25.840493827160532
3,36,5.256227796006703,27.007160493827207
3,37,5.367859631641522,28.34049382716055
3,38,5.465537487821973,29.50716049382723
3,39,5.563215344002435,30.6738271604939
3,40,5.6608932001828975,31.840493827160575
3,41,5.75857105636336,33.00716049382723
3,42,5.85624891254381,34.17382716049388
3,43,5.953926768724273,35.34049382716053
4,0,6,0
4,1,5.475,2.0962274269392087
4,2,5.0266666666666655,2.253734766206441
4,3,5.0266666666666655,2.41482867555963
4,4,5.0266666666666655,2.5761324984798066
4,5,5.0266666666666655,2.737448607150589
4,6,5.0266666666666655,2.8987654348776477
4,7,5.0266666666666655,3.0600823046893906
4,8,5.0266666666666655,3.221399176964252
4,9,5.0266666666666655,3.3827160493832737
4,10,5.0266666666666655,3.5440329218107323
4,11,5.0266666666666655,3.7053497942386855
4,12,5.0266666666666655,3.8897119341563795
4,13,5.0266666666666655,4.051028806584363
4,14,5.0266666666666655,4.212345679012347
4,15,5.0266666666666655,4.37366255144033
4,16,5.0266666666666655,4.534979423868314
4,17,5.0266666666666655,4.719341563786009
4,18,5.035277914951996,5.339965997254009
4,19,5.034749154092367,6.253088401076255
4,20,5.034220393232738,7.183330027671866
4,21,5.033691632373109,8.114573602376755
4,22,5.0331628715134915,9.045875818763392
4,23,5.032634110653862,9.977181467310643
4,24,5.032105349794245,10.908487316734238
