car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,1,5.105055555555555,0.24999999999999983
0,2,5.120006958870317,0.2966666666666663
0,3,5.143038296297095,0.3466666666666661
0,4,5.167448103035349,0.39333333333333265
0,5,5.1915163167008815,0.43999999999999917
0,6,5.218131900786398,0.489999999999999
0,7,5.241164029147944,0.5366666666666655
0,8,5.266648330248472,0.5866666666666653
0,9,5.28948854246421,0.6333333333333317
0,10,5.312552569992659,0.6799999999999983
0,11,5.335891734332767,0.7266666666666648
0,12,5.3584224632280435,0.7733333333333313
0,13,5.383722210096766,0.8233333333333311
0,14,5.406018595908381,0.8699999999999977
0,15,5.429206987754606,0.9166666666666641
0,16,5.453681285592142,0.9666666666666639
0,17,5.468882982236551,0.863333333333331
0,18,5.436359151718989,0.6766666666666641
0,19,5.362884255345648,0.4899999999999968
0,20,5.268025498753332,0.30333333333332996
0,21,5.166411853341197,0.20333333333333004
0,22,5.111897075686988,0.24999999999999653
0,23,5.10636434597302,0.2999999999999964
0,24,5.126840206798192,0.34666666666666285
0,25,5.155594230180805,0.39333333333332937
0,26,5.1864651547099125,0.4433333333333292
0,27,5.214790864953466,0.48999999999999566
0,28,5.239880314404513,0.5366666666666622
0,29,5.26474578722773,0.5833333333333287
0,30,5.288608388313014,0.6299999999999952
0,31,5.3101099309292525,0.6733333333333283
0,32,5.331909757765902,0.7166666666666616
0,33,5.354982846173447,0.7633333333333281
0,34,5.377762154537573,0.8099999999999946
0,35,5.40139904608534,0.8566666666666611
0,36,5.422130608456041,0.8999999999999944
0,37,5.445081894573559,0.9466666666666608
0,38,5.468090396690968,0.9433333333333275
0,39,5.457548645923135,0.7566666666666612
0,40,5.398361317719787,0.5699999999999938
0,41,5.30521898099696,0.3699999999999934
1,0,6,0
1,1,5.1,0.20254447182893714
1,2,5.101170737155508,0.21990724717059645
1,3,5.106700810958659,0.25810306222711477
1,4,5.118025110387043,0.30304989828215956
1,5,5.134159428247244,0.35119755017660886
1,6,5.155392155547406,0.40324357530088617
1,7,5.1769745335161135,0.4513489764337155
1,8,5.201025042618539,0.5023100497592119
1,9,5.224557954640477,0.5494782308230597
1,10,5.247686643314751,0.5964049568272027
1,11,5.271418904896791,0.6431975874976084
1,12,5.294593165755623,0.6899132716420493
1,13,5.319922802833981,0.7399221352996361
1,14,5.343062656558573,0.7865752770050387
1,15,5.366190011984554,0.833217655009465
1,16,5.391473542851304,0.8831856385869387
1,17,5.4145833960751135,0.9298196625000443
1,18,5.437172610063908,0.9316879950560573
1,19,5.445403174626176,0.8313471064190573
1,20,5.428635364448655,0.6685324501821653
1,21,5.375868988188813,0.46557650054538036
1,22,5.308373046551606,0.2971244713816238
1,23,5.232197725421725,0.2267722844264731
1,24,5.181509965926148,0.23833917285057926
1,25,5.155703798913146,0.2820122283982484
1,26,5.1517816562290815,0.33968411285393024
1,27,5.161339755164795,0.3939053788213333
1,28,5.178617891523049,0.4459726515791223
1,29,5.1992587941675765,0.4959847253528147
1,30,5.222250101484701,0.5445808726406652
1,31,5.243741892540607,0.5888956385344947
1,32,5.265422762199501,0.632771944669395
1,33,5.289325418095063,0.6797467634809027
1,34,5.312630437619395,0.7265596071847813
1,35,5.336443282494566,0.7732891687301924
1,36,5.358030693493356,0.8166388592378274
1,37,5.381203410836702,0.8632984189320491
1,38,5.404906059607834,0.9099441918290412
1,39,5.428034326939041,0.9433621708900416
