car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,1,5.105055555555555,0.24999999999999983
0,2,5.12031453409827,0.2966666666666663
0,3,5.144252826007573,0.3466666666666661
0,4,5.169944398769485,0.39333333333333265
0,5,5.197840508833633,0.43999999999999917
0,6,5.2267637581905095,0.489999999999999
0,7,5.254684424639459,0.5366666666666655
0,8,5.283237483826383,0.5866666666666653
0,9,5.3100421002232,0.6333333333333317
0,10,5.3361535648702105,0.6799999999999983
0,11,5.361609299256247,0.7266666666666648
0,12,5.387607265510406,0.7733333333333313
0,13,5.409485935992097,0.7066666666666642
0,14,5.389344556725268,0.5333333333333303
0,15,5.323044491291739,0.34666666666666335
0,16,5.229083209628607,0.15999999999999673
0,17,5.1189267322289655,0.006666666666663419
0,18,5.033374174565097,0.05666666666666341
0,19,5.000417629625008,0.10333333333333009
0,20,5.002898438587385,0.15333333333333024
0,21,5.022818217212989,0.19999999999999704
0,22,5.051063335238109,0.24666666666666356
0,23,5.085143054127821,0.2966666666666634
0,24,5.118347231146254,0.3433333333333299
0,25,5.1504698323529965,0.3899999999999964
0,26,5.182710340456924,0.4366666666666629
0,27,5.213078941071467,0.4833333333333294
0,28,5.245012448830494,0.5333333333333292
0,29,5.273684483513239,0.5799999999999957
0,30,5.301268179974295,0.6266666666666623
0,31,5.329062734041099,0.6733333333333287
0,32,5.3548209205371675,0.7199999999999952
0,33,5.383022502558356,0.769999999999995
0,34,5.405643046377804,0.7466666666666615
0,35,5.393589990521787,0.5599999999999942
0,36,5.332593859354029,0.3733333333333271
0,37,5.242517316136036,0.18666666666666046
0,38,5.126795080275246,0.003333333333327155
0,39,5.040422291668984,0.04999999999999381
0,40,5.002558659566785,0.09666666666666048
0,41,4.9996292266483575,0.14333333333332726
1,0,6,0
1,1,5.1,0.20105650291495197
1,2,5.100760540738588,0.21733926933245162
1,3,5.105854691722493,0.2509064317967132
1,4,5.115692793185872,0.2914319512547789
1,5,5.1303047828602075,0.33642525356974
1,6,5.149680625747601,0.3871459642360151
1,7,5.170022054495485,0.43549332743530866
1,8,5.194161569168591,0.487639576644213
1,9,5.217079679546896,0.5363007708560492
1,10,5.241087897547777,0.5848084613760003
1,11,5.264772396968079,0.6330991226880506
1,12,5.289119439194019,0.6811738944355443
1,13,5.314558890530771,0.7324465346674413
1,14,5.336646620775445,0.7520991686095885
1,15,5.351353259783991,0.6897388238668445
1,16,5.343968770022707,0.5621701491384903
1,17,5.311351350689551,0.3992180543369306
1,18,5.251982378988714,0.21552978064253775
1,19,5.186564952537355,0.11673087442714951
1,20,5.126895627448198,0.08407506628704035
1,21,5.090300189529512,0.0942256732299664
1,22,5.0727391325620825,0.1250731799156178
1,23,5.069983120978191,0.17048997339915894
1,24,5.078265520173818,0.2183117249731112
1,25,5.093368681801121,0.2685518686426138
1,26,5.1124551516682235,0.3196261265202084
1,27,5.134970403722582,0.3707644695484299
1,28,5.159967187576262,0.425206790862688
1,29,5.184724573228346,0.47555423728302176
1,30,5.209207320960559,0.5253970397658381
1,31,5.234351946731044,0.5747814717235518
1,32,5.258845227344113,0.6237350464371798
1,33,5.284923446051448,0.6757771532998744
1,34,5.308034061778881,0.7205894190601638
1,35,5.332112695975911,0.7527731674091811
1,36,5.350150611759522,0.7022445754590418
1,37,5.345530990102043,0.5823555853278618
1,38,5.3151240725025675,0.41082318927548744
1,39,5.260295160201895,0.23521567804716864
