car,time(s),distance(m),velocity(m/s)
0,0,6,0.0
0,1,5.104333333333329,2.466666666666665
0,2,5.1194358204355925,2.9333333333333305
0,3,5.144998576265152,3.399999999999995
0,4,5.183215301283781,3.8999999999999932
0,5,5.227656173652986,4.366666666666658
0,6,5.279789990340282,4.833333333333323
0,7,5.337699698052461,5.299999999999988
0,8,5.400575822398741,5.766666666666652
0,9,5.467153393513536,6.233333333333319
0,10,5.535254655649533,6.699999999999983
0,11,5.605040383732762,7.166666666666649
0,12,5.678461685191405,7.666666666666646
0,13,5.7460877692829175,8.133333333333312
0,14,5.815141675188556,8.63333333333331
0,15,5.876047730067126,9.099999999999975
0,16,5.93271422915443,9.066666666666642
0,17,5.949374011920258,7.066666666666642
0,18,5.904569103867016,5.199999999999968
0,19,5.8096382153717965,3.466666666666632
0,20,5.656140892723556,1.5999999999999661
0,21,5.472216806102187,1.8999999999999682
0,22,5.287107607760549,2.3999999999999666
0,23,5.130931314967074,2.8666666666666316
0,24,4.986598168618343,3.36666666666663
0,25,4.88828342826414,3.766666666666629
0,26,4.794181527357386,4.2333333333332925
0,27,4.7237620721648454,4.699999999999959
0,28,4.675187433933729,5.166666666666623
0,29,4.648926324838681,5.666666666666622
0,30,4.646222262928336,6.133333333333287
0,31,4.664298530830365,6.599999999999953
0,32,4.705167584123115,7.09999999999995
0,33,4.7566837521867,7.533333333333282
0,34,4.833943195378493,8.03333333333328
0,35,4.920372487081318,8.499999999999945
0,36,5.0190277427298495,8.96666666666661
0,37,5.1358912228593,9.466666666666608
0,38,5.2313564512911395,7.599999999999945
0,39,5.2799149673812735,5.599999999999938
0,40,5.274768798064519,3.7333333333332677
0,41,5.227570966044004,1.9999999999999343
1,0,6,0.0
1,1,5.1,2.0013460525146916
1,2,5.100078344998565,2.016142931231834
1,3,5.1005487817381665,2.0630945372574665
1,4,5.10214425969798,2.161964920690512
1,5,5.1052303014402245,2.3071618973389576
1,6,5.1101175637270675,2.5073504320099262
1,7,5.117745021643645,2.7644005225640704
1,8,5.127559426392304,3.078811020895056
1,9,5.140375593358795,3.4497262767770502
1,10,5.155683033950936,3.8755589542167828
1,11,5.17346656896882,4.353761747054824
1,12,5.196228313367124,4.92059649444219
1,13,5.219447592336815,5.496448077754501
1,14,5.247719536525642,6.1585029918331475
1,15,5.275751494128326,6.813393338333012
1,16,5.306528397465968,7.498739854851459
1,17,5.340666585816893,8.250436946571474
1,18,5.3743482566909275,8.872853860746757
1,19,5.403582622729618,9.300961750149035
1,20,5.430922154433551,9.547455786919514
1,21,5.451271298022903,9.537744410595714
1,22,5.46172931740116,9.286879336699794
1,23,5.461835984580716,8.91456712025988
1,24,5.452332070367265,8.429290116839745
1,25,5.43992633734315,8.004955966300969
1,26,5.420856873793719,7.492234494481824
1,27,5.399238194869622,6.9796683922264435
1,28,5.376136290856698,6.4834021085081295
1,29,5.350254266019988,5.985680908693052
1,30,5.327018064385311,5.566001880955139
1,31,5.304563951995806,5.200463875460572
1,32,5.2831535993836045,4.8800138829679325
1,33,5.266388101127086,4.669132819107768
1,34,5.250985859418916,4.510713078002643
1,35,5.239762993928821,4.4504326418005995
1,36,5.232548815462451,4.478821885064465
1,37,5.2291472408434405,4.6107578679204915
1,38,5.2306584658465,4.828176092434582
1,39,5.236687588871905,5.083943563577245
1,40,5.244975802993258,5.245784672846378
1,41,5.252072318991395,5.274887941378619
2,0,6,0.0
2,1,5.1,2.0000448684171563
2,2,5.100005254754047,2.00157902180524
2,3,5.100069020606748,2.011978955323964
2,4,5.100443060994076,2.0456199940624926
2,5,5.1014656086500505,2.1098738320685606
2,6,5.103463376318269,2.2147515017291592
2,7,5.107219349033085,2.366691597742619
2,8,5.112647279516045,2.570129910865756
2,9,5.1204674052035895,2.8273914756724183
2,10,5.130563504782776,3.1396201284866128
2,11,5.142972533559941,3.506478720302011
2,12,5.159803022001574,3.9586740778896035
2,13,5.177670802762964,4.43360189441134
2,14,5.20030283182507,4.995588700068534
2,15,5.223437162553796,5.565866375913699
2,16,5.24954661984309,6.176014630229606
2,17,5.2792550907299525,6.868362726686128
2,18,5.309646221856951,7.53381315837769
2,19,5.338516644798074,8.12194025874329
2,20,5.369405424395836,8.662435335550713
2,21,5.398664280198591,9.050468610227556
2,22,5.423854029568815,9.247197742240122
2,23,5.440873011315693,9.22785816882676
2,24,5.4491341304564,9.028715542709831
2,25,5.449669843871197,8.768546946905602
2,26,5.4434858541557105,8.384863393792727
2,27,5.431505571065282,7.945120505535831
2,28,5.41547749552185,7.4751617984970435
2,29,5.394138954702885,6.962625539061947
2,30,5.372922519686176,6.495145809554486
2,31,5.350407542737093,6.053629885182367
2,32,5.3271103672484745,5.624747732482673
2,33,5.307272230521766,5.300296068129052
2,34,5.286980789546282,4.9915615814827925
