car,time(s),distance(m),velocity(m/s)
0,0,6,0.0
0,1,5.025,0.13333333333333372
0,2,4.949721127157614,1.8666666666666658
0,3,4.89929113473479,3.233333333333333
0,4,4.8901648013895285,2.766666666666668
0,5,4.9146054797300165,2.300000000000003
0,6,4.94051732970438,1.8333333333333368
0,7,4.966136763554232,1.3333333333333353
0,8,4.986990136559553,0.8666666666666676
0,9,5.004973581094464,0.400000000000001
0,10,5.021705343915596,0.06666666666666557
0,11,5.03477526232939,0.5333333333333322
0,12,5.048059815701686,1.033333333333332
0,13,5.057424410422482,1.4666666666666668
0,14,5.066123743918775,1.933333333333335
0,15,5.074561077672547,2.4000000000000004
0,16,5.080452638991301,2.8666666666666654
0,17,5.08697017918505,3.3666666666666636
0,18,5.091470800213552,3.8333333333333286
0,19,5.095671989175071,4.299999999999994
0,20,5.099401875788454,4.266666666666658
0,21,5.0691016168651455,2.399999999999991
0,22,5.0458759458327,1.7333333333333245
0,23,5.034908244001031,1.3333333333333246
0,24,5.01717353044769,0.7999999999999914
0,25,4.969786324050506,0.6666666666666752
0,26,4.950337622557891,1.3333333333333417
0,27,4.902329861968383,3.066666666666675
0,28,4.869919412856757,2.9666666666666766
0,29,4.887336733773464,2.500000000000011
0,30,4.914493612048181,2.033333333333346
0,31,4.940479173092763,1.5666666666666782
0,32,4.964307091160867,1.0666666666666766
0,33,4.985132101826025,0.6000000000000099
0,34,5.001946657580765,0.1333333333333433
0,35,5.017671238838671,0.3333333333333233
0,36,5.031203155578055,0.7999999999999898
0,37,5.042761207197282,1.2666666666666573
0,38,5.053805507258471,1.7333333333333254
0,39,5.062013172477032,2.199999999999992
0,40,5.070040221047793,2.666666666666657
0,41,5.076808332143083,3.133333333333322
1,0,6,0.0
1,1,5.025,1.8882319958847738
1,2,5.006605566346138,-0.4027553216835923
1,3,4.986005702449961,-2.467496538074222
1,4,4.964882835437971,-3.88530623823618
1,5,4.965803434856889,-3.2891328625261975
1,6,4.96941104943478,-2.6544115789515574
1,7,4.975752048044751,-2.0963828510978413
1,8,4.982477179609191,-1.522277000379767
1,9,4.987681029923169,-0.9302402841514053
1,10,4.993609525227316,-0.38026624584917845
1,11,4.998964468537156,0.16044884979392976
1,12,5.0044497454021215,0.739075045894553
1,13,5.009818068459026,1.2305494990893138
1,14,5.01483353434287,1.7496360572272287
1,15,5.0203902243546965,2.2634909779030585
1,16,5.025253743043391,2.770577929334757
1,17,5.030369621521845,3.306723765519327
