car,time(s),distance(m),velocity(m/s)
0,0,6,0
0,819,5.629672428224945,0.7000000000000001
0,820,5.629672428224945,0.7000000000000001
0,821,5.629672428224945,0.7000000000000001
0,822,5.629672428224945,0.7000000000000001
0,823,5.629672428224945,0.7000000000000001
0,824,5.629672428224945,0.7000000000000001
0,825,5.629672428224945,0.7000000000000001
0,826,5.629672428224945,0.7000000000000001
0,827,5.629672428224945,0.7000000000000001
0,1,5,0
0,828,5.629672428224945,0.7000000000000001
0,2,5,0
0,829,5.629672428224945,0.7000000000000001
0,3,5,0
0,830,5.629672428224945,0.7000000000000001
0,4,5,0
0,831,5.629672428224945,0.7000000000000001
0,5,5,0
0,832,5.629672428224945,0.7000000000000001
0,6,5,0
0,833,5.629672428224945,0.7000000000000001
0,7,5,0
0,834,5.629672428224945,0.7000000000000001
0,8,5,0
0,835,5.629672428224945,0.7000000000000001
0,9,5,0
0,836,5.629672428224945,0.7000000000000001
0,10,5,0
0,837,5.629672428224945,0.7000000000000001
0,11,5,0
0,838,5.629672428224945,0.7000000000000001
0,12,5,0
0,839,5.629672428224945,0.7000000000000001
0,13,5,0
0,840,5.629672428224945,0.7000000000000001
0,14,5,0
0,841,5.629672428224945,0.7000000000000001
0,15,5,0
0,842,5.629672428224945,0.7000000000000001
0,16,5,0
0,843,5.629672428224945,0.7000000000000001
0,17,5,0
0,844,5.629672428224945,0.7000000000000001
0,18,5,0
0,845,5.629672428224945,0.7000000000000001
0,19,5,0
0,846,5.629672428224945,0.7000000000000001
0,20,5,0
0,847,5.629672428224945,0.7000000000000001
0,21,5,0
0,848,5.629672428224945,0.7000000000000001
0,22,5,0
0,849,5.629672428224945,0.7000000000000001
0,23,5,0
0,850,5.629672428224945,0.7000000000000001
0,24,5,0
0,851,5.629672428224945,0.7000000000000001
0,25,5,0
0,852,5.629672428224945,0.7000000000000001
0,26,5,0
0,853,5.629672428224945,0.7000000000000001
0,27,5,0
0,854,5.629672428224945,0.7000000000000001
0,28,5,0
0,855,5.629672428224945,0.7000000000000001
0,29,5,0
0,856,5.629672428224945,0.7000000000000001
0,30,5,0
0,857,5.629672428224945,0.7000000000000001
0,31,5,0
0,858,5.629672428224945,0.7000000000000001
0,32,5,0
0,859,5.629672428224945,0.7000000000000001
0,33,5,0
0,860,5.629672428224945,0.7000000000000001
0,34,5,0
0,861,5.629672428224945,0.7000000000000001
0,35,5,0
0,862,5.629672428224945,0.7000000000000001
0,36,5,0
0,863,5.629672428224945,0.7000000000000001
0,37,5,0
0,864,5.629672428224945,0.7000000000000001
0,38,5,0
0,865,5.629672428224945,0.7000000000000001
0,39,5,0
0,866,5.629672428224945,0.7000000000000001
0,40,5,0
0,867,5.629672428224945,0.7000000000000001
0,41,5,0
0,868,5.629672428224945,0.7000000000000001
1,0,6,0
1,819,5.3611965044914545,1.1216796016527586
1,820,5.3611965044914545,1.1216796016527586
1,821,5.3611965044914545,1.1216796016527586
1,822,5.3611965044914545,1.1216796016527586
1,823,5.3611965044914545,1.1216796016527586
1,824,5.3611965044914545,1.1216796016527586
1,825,5.3611965044914545,1.1216796016527586
1,826,5.3611965044914545,1.1216796016527586
1,827,5.3611965044914545,1.1216796016527586
1,1,5,0
1,828,5.3611965044914545,1.1216796016527586
1,2,5,0
1,829,5.3611965044914545,1.1216796016527586
1,3,5,0
1,830,5.3611965044914545,1.1216796016527586
1,4,5,0
1,831,5.3611965044914545,1.1216796016527586
1,5,5,0
1,832,5.3611965044914545,1.1216796016527586
1,6,5,0
1,833,5.3611965044914545,1.1216796016527586
1,7,5,0
1,834,5.3611965044914545,1.1216796016527586
1,8,5,0
1,835,5.3611965044914545,1.1216796016527586
1,9,5,0
1,836,5.3611965044914545,1.1216796016527586
1,10,5,0
1,837,5.3611965044914545,1.1216796016527586
1,11,5,0
1,838,5.3611965044914545,1.1216796016527586
1,12,5,0
1,839,5.3611965044914545,1.1216796016527586
1,13,5,0
1,840,5.3611965044914545,1.1216796016527586
1,14,5,0
1,841,5.3611965044914545,1.1216796016527586
1,15,5,0
1,842,5.3611965044914545,1.1216796016527586
1,16,5,0
1,843,5.3611965044914545,1.1216796016527586
1,17,5,0
1,844,5.3611965044914545,1.1216796016527586
1,18,5,0
1,845,5.3611965044914545,1.1216796016527586
1,19,5,0
1,846,5.3611965044914545,1.1216796016527586
1,20,5,0
1,847,5.3611965044914545,1.1216796016527586
1,21,5,0
1,848,5.3611965044914545,1.1216796016527586
1,22,5,0
1,849,5.3611965044914545,1.1216796016527586
1,23,5,0
1,850,5.3611965044914545,1.1216796016527586
1,24,5,0
1,851,5.3611965044914545,1.1216796016527586
1,25,5,0
1,852,5.3611965044914545,1.1216796016527586
1,26,5,0
1,853,5.3611965044914545,1.1216796016527586
1,27,5,0
1,854,5.3611965044914545,1.1216796016527586
1,28,5,0
1,855,5.3611965044914545,1.1216796016527586
1,29,5,0
1,856,5.3611965044914545,1.1216796016527586
1,30,5,0
1,857,5.3611965044914545,1.1216796016527586
1,31,5,0
1,858,5.3611965044914545,1.1216796016527586
1,32,5,0
1,859,5.3611965044914545,1.1216796016527586
1,33,5,0
1,860,5.3611965044914545,1.1216796016527586
1,34,5,0
1,861,5.3611965044914545,1.1216796016527586
1,35,5,0
1,862,5.3611965044914545,1.1216796016527586
1,36,5,0
1,863,5.3611965044914545,1.1216796016527586
1,37,5,0
1,864,5.3611965044914545,1.1216796016527586
1,38,5,0
1,865,5.3611965044914545,1.1216796016527586
1,39,5,0
1,866,5.3611965044914545,1.1216796016527586
1,40,5,0
1,867,5.3611965044914545,1.1216796016527586
1,41,5,0
1,868,5.3611965044914545,1.1216796016527586
2,0,6,0
2,819,5.162361780331798,0.7413171037504388
2,820,5.162361780331798,0.7413171037504388
2,821,5.162361780331798,0.7413171037504388
2,822,5.162361780331798,0.7413171037504388
2,823,5.162361780331798,0.7413171037504388
2,824,5.162361780331798,0.7413171037504388
2,825,5.162361780331798,0.7413171037504388
2,826,5.162361780331798,0.7413171037504388
2,827,5.162361780331798,0.7413171037504388
2,1,5,0
2,828,5.162361780331798,0.7413171037504388
2,2,5,0
2,829,5.162361780331798,0.7413171037504388
2,3,5,0
2,830,5.162361780331798,0.7413171037504388
2,4,5,0
2,831,5.162361780331798,0.7413171037504388
2,5,5,0
2,832,5.162361780331798,0.7413171037504388
2,6,5,0
2,833,5.162361780331798,0.7413171037504388
2,7,5,0
2,834,5.162361780331798,0.7413171037504388
